formula,formula,score
t68_xboole_1,t4_xboole_0,0.0
t68_xboole_1,t16_xboole_1,inf
t68_xboole_1,rc2_xboole_0,0.0
t68_xboole_1,d4_xboole_0,inf
t68_xboole_1,t24_xboole_1,inf
t68_xboole_1,dt_k4_xboole_0,inf
t68_xboole_1,l36_xboole_1,inf
t68_xboole_1,d10_xboole_0,0.0
t68_xboole_1,t19_xboole_1,1.3333333333333333
t68_xboole_1,t43_xboole_1,4.0
t68_xboole_1,t26_xboole_1,4.0
t68_xboole_1,t13_xboole_1,2.6666666666666665
t68_xboole_1,t6_boole,0.0
t68_xboole_1,l32_xboole_1,0.0
t68_xboole_1,l13_xboole_0,0.0
t68_xboole_1,t54_xboole_1,inf
t68_xboole_1,t2_boole,inf
t68_xboole_1,d2_xboole_0,inf
t68_xboole_1,t31_xboole_1,12.0
t68_xboole_1,t30_xboole_1,0.0
t68_xboole_1,t18_xboole_1,2.0
t68_xboole_1,t52_xboole_1,inf
t68_xboole_1,t3_xboole_0,0.0
t68_xboole_1,t55_xboole_1,inf
t68_xboole_1,t12_xboole_1,0.0
t68_xboole_1,d7_xboole_0,0.0
t68_xboole_1,t67_xboole_1,0.0
t68_xboole_1,antisymmetry_r2_hidden,inf
t68_xboole_1,t7_xboole_0,inf
t68_xboole_1,t4_boole,inf
t68_xboole_1,t69_xboole_1,0.0
t62_xboole_1,t32_xboole_1,inf
t62_xboole_1,t39_xboole_1,inf
t62_xboole_1,t41_xboole_1,inf
t62_xboole_1,t36_xboole_1,inf
t62_xboole_1,d8_xboole_0,6.0
t62_xboole_1,d3_tarski,inf
t62_xboole_1,t40_xboole_1,inf
t62_xboole_1,t23_xboole_1,inf
t62_xboole_1,t66_xboole_1,inf
t62_xboole_1,t34_xboole_1,inf
t62_xboole_1,t8_xboole_1,inf
t62_xboole_1,dt_k3_xboole_0,inf
t62_xboole_1,t1_xboole_1,inf
t62_xboole_1,t7_boole,inf
t62_xboole_1,d1_xboole_0,inf
t62_xboole_1,t37_xboole_1,inf
t62_xboole_1,commutativity_k3_xboole_0,inf
t62_xboole_1,dt_k5_xboole_0,inf
t62_xboole_1,t3_boole,inf
t62_xboole_1,t65_xboole_1,inf
t62_xboole_1,symmetry_r1_xboole_0,inf
t62_xboole_1,t2_xboole_1,inf
t62_xboole_1,t20_xboole_1,inf
t62_xboole_1,t59_xboole_1,3.0
t62_xboole_1,t22_xboole_1,inf
t62_xboole_1,t28_xboole_1,inf
t62_xboole_1,t42_xboole_1,inf
t62_xboole_1,t51_xboole_1,inf
t62_xboole_1,t1_boole,inf
t62_xboole_1,t5_xboole_1,inf
t62_xboole_1,t63_xboole_1,inf
t62_xboole_1,t17_xboole_1,inf
t62_xboole_1,t5_xboole_0,inf
t62_xboole_1,t38_xboole_1,inf
t62_xboole_1,t46_xboole_1,inf
t62_xboole_1,commutativity_k2_xboole_0,inf
t62_xboole_1,dt_k2_xboole_0,inf
t62_xboole_1,t53_xboole_1,inf
t62_xboole_1,t8_boole,inf
t62_xboole_1,t61_xboole_1,inf
t62_xboole_1,t49_xboole_1,inf
t62_xboole_1,t58_xboole_1,3.0
t62_xboole_1,t25_xboole_1,inf
t62_xboole_1,t7_xboole_1,inf
t62_xboole_1,t48_xboole_1,inf
t62_xboole_1,t3_xboole_1,inf
t62_xboole_1,idempotence_k3_xboole_0,inf
t62_xboole_1,t47_xboole_1,inf
t62_xboole_1,d3_xboole_0,inf
t62_xboole_1,t21_xboole_1,inf
t62_xboole_1,idempotence_k2_xboole_0,inf
t62_xboole_1,t2_tarski,inf
t62_xboole_1,t64_xboole_1,inf
t62_xboole_1,t9_xboole_1,inf
t62_xboole_1,dt_o_0_0_xboole_0,inf
t62_xboole_1,t50_xboole_1,inf
t62_xboole_1,t27_xboole_1,inf
t62_xboole_1,fc1_xboole_0,inf
t62_xboole_1,rc1_xboole_0,inf
t62_xboole_1,t6_xboole_1,inf
t62_xboole_1,d5_xboole_0,inf
t62_xboole_1,dt_k1_xboole_0,inf
t62_xboole_1,t4_xboole_1,inf
t62_xboole_1,t1_xboole_0,inf
t62_xboole_1,t14_xboole_1,inf
t62_xboole_1,t29_xboole_1,inf
t62_xboole_1,antisymmetry_r2_xboole_0,2.0
t62_xboole_1,t44_xboole_1,inf
t62_xboole_1,t2_xboole_0,inf
t62_xboole_1,t45_xboole_1,inf
t62_xboole_1,t6_xboole_0,6.0
t62_xboole_1,fc5_xboole_0,inf
t62_xboole_1,t56_xboole_1,2.0
t62_xboole_1,fc4_xboole_0,inf
t62_xboole_1,t11_xboole_1,inf
t62_xboole_1,t60_xboole_1,4.0
t62_xboole_1,t35_xboole_1,inf
t62_xboole_1,d6_xboole_0,inf
t62_xboole_1,t15_xboole_1,inf
t62_xboole_1,l58_xboole_1,3.0
t62_xboole_1,t33_xboole_1,inf
t62_xboole_1,commutativity_k5_xboole_0,inf
t62_xboole_1,irreflexivity_r2_xboole_0,2.9711606895707154
t62_xboole_1,t57_xboole_1,2.0
t62_xboole_1,t10_xboole_1,inf
t62_xboole_1,t4_xboole_0,inf
t62_xboole_1,t16_xboole_1,inf
t62_xboole_1,rc2_xboole_0,inf
t62_xboole_1,d4_xboole_0,inf
t62_xboole_1,t24_xboole_1,inf
t62_xboole_1,dt_k4_xboole_0,inf
t62_xboole_1,l36_xboole_1,inf
t62_xboole_1,d10_xboole_0,inf
t62_xboole_1,t19_xboole_1,inf
t62_xboole_1,t43_xboole_1,inf
t62_xboole_1,t26_xboole_1,inf
t62_xboole_1,t13_xboole_1,inf
t62_xboole_1,t6_boole,inf
t62_xboole_1,l32_xboole_1,inf
t62_xboole_1,l13_xboole_0,inf
t62_xboole_1,t54_xboole_1,inf
t62_xboole_1,t2_boole,inf
t62_xboole_1,d2_xboole_0,inf
t62_xboole_1,t31_xboole_1,inf
t62_xboole_1,t30_xboole_1,inf
t62_xboole_1,t18_xboole_1,inf
t62_xboole_1,t52_xboole_1,inf
t62_xboole_1,t3_xboole_0,inf
t62_xboole_1,t55_xboole_1,inf
t62_xboole_1,t12_xboole_1,inf
t62_xboole_1,d7_xboole_0,inf
t62_xboole_1,t67_xboole_1,inf
t62_xboole_1,antisymmetry_r2_hidden,inf
t62_xboole_1,t7_xboole_0,inf
t62_xboole_1,t4_boole,inf
t62_xboole_1,t69_xboole_1,inf
t32_xboole_1,t39_xboole_1,8.0
t32_xboole_1,t41_xboole_1,11.98936203008674
t32_xboole_1,t36_xboole_1,inf
t32_xboole_1,d8_xboole_0,6.0
t32_xboole_1,d3_tarski,inf
t32_xboole_1,t40_xboole_1,10.911218417195558
t32_xboole_1,t23_xboole_1,10.0
t32_xboole_1,t66_xboole_1,8.0
t32_xboole_1,t34_xboole_1,inf
t32_xboole_1,t8_xboole_1,inf
t32_xboole_1,dt_k3_xboole_0,inf
t32_xboole_1,t1_xboole_1,inf
t32_xboole_1,t7_boole,inf
t32_xboole_1,d1_xboole_0,inf
t32_xboole_1,t37_xboole_1,8.0
t32_xboole_1,commutativity_k3_xboole_0,6.0
t32_xboole_1,dt_k5_xboole_0,inf
t32_xboole_1,t3_boole,5.852139117810894
t32_xboole_1,t65_xboole_1,inf
t32_xboole_1,symmetry_r1_xboole_0,inf
t32_xboole_1,t2_xboole_1,inf
t32_xboole_1,t20_xboole_1,24.0
t32_xboole_1,t59_xboole_1,inf
t32_xboole_1,t22_xboole_1,7.3933709563485355
t32_xboole_1,t28_xboole_1,10.028294746024287
t32_xboole_1,t42_xboole_1,10.379580255208214
t32_xboole_1,t51_xboole_1,9.1800573714116
t32_xboole_1,t1_boole,6.666893480027047
t32_xboole_1,t5_xboole_1,6.0
t32_xboole_1,t63_xboole_1,inf
t32_xboole_1,t17_xboole_1,inf
t32_xboole_1,t5_xboole_0,inf
t32_xboole_1,t38_xboole_1,8.0
t32_xboole_1,t46_xboole_1,6.304816493494428
t32_xboole_1,commutativity_k2_xboole_0,6.0
t32_xboole_1,dt_k2_xboole_0,inf
t32_xboole_1,t53_xboole_1,8.233416121251583
t32_xboole_1,t8_boole,4.0
t32_xboole_1,t61_xboole_1,4.0
t32_xboole_1,t49_xboole_1,9.9331406040133
t32_xboole_1,t58_xboole_1,inf
t32_xboole_1,t25_xboole_1,10.0
t32_xboole_1,t7_xboole_1,inf
t32_xboole_1,t48_xboole_1,5.304816493494428
t32_xboole_1,t3_xboole_1,8.0
t32_xboole_1,idempotence_k3_xboole_0,5.763653130923503
t32_xboole_1,t47_xboole_1,10.911218417195558
t32_xboole_1,d3_xboole_0,16.0
t32_xboole_1,t21_xboole_1,7.3933709563485355
t32_xboole_1,idempotence_k2_xboole_0,5.763653130923503
t32_xboole_1,t2_tarski,6.0
t32_xboole_1,t64_xboole_1,inf
t32_xboole_1,t9_xboole_1,inf
t32_xboole_1,dt_o_0_0_xboole_0,inf
t32_xboole_1,t50_xboole_1,9.71727629406619
t32_xboole_1,t27_xboole_1,inf
t32_xboole_1,fc1_xboole_0,inf
t32_xboole_1,rc1_xboole_0,inf
t32_xboole_1,t6_xboole_1,6.0
t32_xboole_1,d5_xboole_0,15.789655277532908
t32_xboole_1,dt_k1_xboole_0,inf
t32_xboole_1,t4_xboole_1,6.0
t32_xboole_1,t1_xboole_0,inf
t32_xboole_1,t14_xboole_1,24.0
t32_xboole_1,t29_xboole_1,inf
t32_xboole_1,antisymmetry_r2_xboole_0,inf
t32_xboole_1,t44_xboole_1,inf
t32_xboole_1,t2_xboole_0,16.0
t32_xboole_1,t45_xboole_1,13.757603987645831
t32_xboole_1,t6_xboole_0,inf
t32_xboole_1,fc5_xboole_0,inf
t32_xboole_1,t56_xboole_1,inf
t32_xboole_1,fc4_xboole_0,inf
t32_xboole_1,t11_xboole_1,inf
t32_xboole_1,t60_xboole_1,inf
t32_xboole_1,t35_xboole_1,inf
t32_xboole_1,d6_xboole_0,8.0
t32_xboole_1,t15_xboole_1,5.0
t32_xboole_1,l58_xboole_1,inf
t32_xboole_1,t33_xboole_1,inf
t32_xboole_1,commutativity_k5_xboole_0,6.0
t32_xboole_1,irreflexivity_r2_xboole_0,inf
t32_xboole_1,t57_xboole_1,inf
t32_xboole_1,t10_xboole_1,inf
t32_xboole_1,t4_xboole_0,inf
t32_xboole_1,t16_xboole_1,6.0
t32_xboole_1,rc2_xboole_0,inf
t32_xboole_1,d4_xboole_0,16.0
t32_xboole_1,t24_xboole_1,10.0
t32_xboole_1,dt_k4_xboole_0,inf
t32_xboole_1,l36_xboole_1,8.233416121251583
t32_xboole_1,d10_xboole_0,6.0
t32_xboole_1,t19_xboole_1,inf
t32_xboole_1,t43_xboole_1,inf
t32_xboole_1,t26_xboole_1,inf
t32_xboole_1,t13_xboole_1,inf
t32_xboole_1,t6_boole,8.0
t32_xboole_1,l32_xboole_1,8.0
t32_xboole_1,l13_xboole_0,8.0
t32_xboole_1,t54_xboole_1,8.233416121251583
t32_xboole_1,t2_boole,8.0
t32_xboole_1,d2_xboole_0,6.0
t32_xboole_1,t31_xboole_1,inf
t32_xboole_1,t30_xboole_1,20.0
t32_xboole_1,t18_xboole_1,inf
t32_xboole_1,t52_xboole_1,9.188623329523239
t32_xboole_1,t3_xboole_0,inf
t32_xboole_1,t55_xboole_1,10.71727629406619
t32_xboole_1,t12_xboole_1,8.609632986988856
t32_xboole_1,d7_xboole_0,12.0
t32_xboole_1,t67_xboole_1,16.0
t32_xboole_1,antisymmetry_r2_hidden,inf
t32_xboole_1,t7_xboole_0,4.0
t32_xboole_1,t4_boole,7.085002842433678
t32_xboole_1,t69_xboole_1,inf
t39_xboole_1,t41_xboole_1,12.0
t39_xboole_1,t36_xboole_1,inf
t39_xboole_1,d8_xboole_0,18.0
t39_xboole_1,d3_tarski,inf
t39_xboole_1,t40_xboole_1,12.0
t39_xboole_1,t23_xboole_1,14.086565461741756
t39_xboole_1,t66_xboole_1,16.0
t39_xboole_1,t34_xboole_1,inf
t39_xboole_1,t8_xboole_1,inf
t39_xboole_1,dt_k3_xboole_0,inf
t39_xboole_1,t1_xboole_1,inf
t39_xboole_1,t7_boole,inf
t39_xboole_1,d1_xboole_0,inf
t39_xboole_1,t37_xboole_1,20.0
t39_xboole_1,commutativity_k3_xboole_0,10.0
t39_xboole_1,dt_k5_xboole_0,inf
t39_xboole_1,t3_boole,10.377246659046476
t39_xboole_1,t65_xboole_1,inf
t39_xboole_1,symmetry_r1_xboole_0,inf
t39_xboole_1,t2_xboole_1,inf
t39_xboole_1,t20_xboole_1,48.0
t39_xboole_1,t59_xboole_1,inf
t39_xboole_1,t22_xboole_1,7.30043207632639
t39_xboole_1,t28_xboole_1,16.933664485006336
t39_xboole_1,t42_xboole_1,14.086565461741756
t39_xboole_1,t51_xboole_1,22.683895518481275
t39_xboole_1,t1_boole,6.6096329869888555
t39_xboole_1,t5_xboole_1,17.82693650379793
t39_xboole_1,t63_xboole_1,inf
t39_xboole_1,t17_xboole_1,inf
t39_xboole_1,t5_xboole_0,inf
t39_xboole_1,t38_xboole_1,16.0
t39_xboole_1,t46_xboole_1,12.0
t39_xboole_1,commutativity_k2_xboole_0,15.822436834391116
t39_xboole_1,dt_k2_xboole_0,inf
t39_xboole_1,t53_xboole_1,14.0
t39_xboole_1,t8_boole,12.0
t39_xboole_1,t61_xboole_1,8.0
t39_xboole_1,t49_xboole_1,14.0
t39_xboole_1,t58_xboole_1,inf
t39_xboole_1,t25_xboole_1,14.604667353317407
t39_xboole_1,t7_xboole_1,inf
t39_xboole_1,t48_xboole_1,10.0
t39_xboole_1,t3_xboole_1,16.0
t39_xboole_1,idempotence_k3_xboole_0,8.896418674544599
t39_xboole_1,t47_xboole_1,12.0
t39_xboole_1,d3_xboole_0,16.0
t39_xboole_1,t21_xboole_1,10.830342030658832
t39_xboole_1,idempotence_k2_xboole_0,8.478248445389776
t39_xboole_1,t2_tarski,18.0
t39_xboole_1,t64_xboole_1,inf
t39_xboole_1,t9_xboole_1,inf
t39_xboole_1,dt_o_0_0_xboole_0,inf
t39_xboole_1,t50_xboole_1,14.0
t39_xboole_1,t27_xboole_1,inf
t39_xboole_1,fc1_xboole_0,inf
t39_xboole_1,rc1_xboole_0,inf
t39_xboole_1,t6_xboole_1,4.0
t39_xboole_1,d5_xboole_0,32.0
t39_xboole_1,dt_k1_xboole_0,inf
t39_xboole_1,t4_xboole_1,12.177383449109996
t39_xboole_1,t1_xboole_0,inf
t39_xboole_1,t14_xboole_1,30.805873088311486
t39_xboole_1,t29_xboole_1,inf
t39_xboole_1,antisymmetry_r2_xboole_0,inf
t39_xboole_1,t44_xboole_1,inf
t39_xboole_1,t2_xboole_0,32.0
t39_xboole_1,t45_xboole_1,17.60052798113554
t39_xboole_1,t6_xboole_0,inf
t39_xboole_1,fc5_xboole_0,inf
t39_xboole_1,t56_xboole_1,inf
t39_xboole_1,fc4_xboole_0,inf
t39_xboole_1,t11_xboole_1,inf
t39_xboole_1,t60_xboole_1,inf
t39_xboole_1,t35_xboole_1,inf
t39_xboole_1,d6_xboole_0,12.427040134639292
t39_xboole_1,t15_xboole_1,7.0
t39_xboole_1,l58_xboole_1,inf
t39_xboole_1,t33_xboole_1,inf
t39_xboole_1,commutativity_k5_xboole_0,10.0
t39_xboole_1,irreflexivity_r2_xboole_0,inf
t39_xboole_1,t57_xboole_1,inf
t39_xboole_1,t10_xboole_1,inf
t39_xboole_1,t4_xboole_0,inf
t39_xboole_1,t16_xboole_1,10.0
t39_xboole_1,rc2_xboole_0,inf
t39_xboole_1,d4_xboole_0,32.0
t39_xboole_1,t24_xboole_1,10.0
t39_xboole_1,dt_k4_xboole_0,inf
t39_xboole_1,l36_xboole_1,14.086565461741756
t39_xboole_1,d10_xboole_0,18.0
t39_xboole_1,t19_xboole_1,inf
t39_xboole_1,t43_xboole_1,inf
t39_xboole_1,t26_xboole_1,inf
t39_xboole_1,t13_xboole_1,inf
t39_xboole_1,t6_boole,16.0
t39_xboole_1,l32_xboole_1,20.0
t39_xboole_1,l13_xboole_0,16.0
t39_xboole_1,t54_xboole_1,14.086565461741756
t39_xboole_1,t2_boole,12.0
t39_xboole_1,d2_xboole_0,10.0
t39_xboole_1,t31_xboole_1,inf
t39_xboole_1,t30_xboole_1,20.0
t39_xboole_1,t18_xboole_1,inf
t39_xboole_1,t52_xboole_1,12.427040134639292
t39_xboole_1,t3_xboole_0,inf
t39_xboole_1,t55_xboole_1,15.82502216453221
t39_xboole_1,t12_xboole_1,12.759160510416427
t39_xboole_1,d7_xboole_0,20.0
t39_xboole_1,t67_xboole_1,32.0
t39_xboole_1,antisymmetry_r2_hidden,inf
t39_xboole_1,t7_xboole_0,8.0
t39_xboole_1,t4_boole,12.0
t39_xboole_1,t69_xboole_1,inf
t41_xboole_1,t36_xboole_1,inf
t41_xboole_1,d8_xboole_0,18.0
t41_xboole_1,d3_tarski,inf
t41_xboole_1,t40_xboole_1,13.003619051712528
t41_xboole_1,t23_xboole_1,14.0
t41_xboole_1,t66_xboole_1,16.0
t41_xboole_1,t34_xboole_1,inf
t41_xboole_1,t8_xboole_1,inf
t41_xboole_1,dt_k3_xboole_0,inf
t41_xboole_1,t1_xboole_1,inf
t41_xboole_1,t7_boole,inf
t41_xboole_1,d1_xboole_0,inf
t41_xboole_1,t37_xboole_1,17.246583612521167
t41_xboole_1,commutativity_k3_xboole_0,10.0
t41_xboole_1,dt_k5_xboole_0,inf
t41_xboole_1,t3_boole,11.447909397649456
t41_xboole_1,t65_xboole_1,inf
t41_xboole_1,symmetry_r1_xboole_0,inf
t41_xboole_1,t2_xboole_1,inf
t41_xboole_1,t20_xboole_1,48.0
t41_xboole_1,t59_xboole_1,inf
t41_xboole_1,t22_xboole_1,10.830342030658832
t41_xboole_1,t28_xboole_1,16.933664485006336
t41_xboole_1,t42_xboole_1,12.0
t41_xboole_1,t51_xboole_1,12.779326405292311
t41_xboole_1,t1_boole,10.377246659046476
t41_xboole_1,t5_xboole_1,10.0
t41_xboole_1,t63_xboole_1,inf
t41_xboole_1,t17_xboole_1,inf
t41_xboole_1,t5_xboole_0,inf
t41_xboole_1,t38_xboole_1,16.0
t41_xboole_1,t46_xboole_1,11.893050336380645
t41_xboole_1,commutativity_k2_xboole_0,10.0
t41_xboole_1,dt_k2_xboole_0,inf
t41_xboole_1,t53_xboole_1,14.211358740250612
t41_xboole_1,t8_boole,12.0
t41_xboole_1,t61_xboole_1,8.0
t41_xboole_1,t49_xboole_1,11.893050336380645
t41_xboole_1,t58_xboole_1,inf
t41_xboole_1,t25_xboole_1,14.0
t41_xboole_1,t7_xboole_1,inf
t41_xboole_1,t48_xboole_1,12.427040134639292
t41_xboole_1,t3_xboole_1,16.0
t41_xboole_1,idempotence_k3_xboole_0,8.896418674544599
t41_xboole_1,t47_xboole_1,12.177383449109996
t41_xboole_1,d3_xboole_0,32.0
t41_xboole_1,t21_xboole_1,10.830342030658832
t41_xboole_1,idempotence_k2_xboole_0,8.896418674544599
t41_xboole_1,t2_tarski,18.0
t41_xboole_1,t64_xboole_1,inf
t41_xboole_1,t9_xboole_1,inf
t41_xboole_1,dt_o_0_0_xboole_0,inf
t41_xboole_1,t50_xboole_1,12.424216738930504
t41_xboole_1,t27_xboole_1,inf
t41_xboole_1,fc1_xboole_0,inf
t41_xboole_1,rc1_xboole_0,inf
t41_xboole_1,t6_xboole_1,10.0
t41_xboole_1,d5_xboole_0,16.0
t41_xboole_1,dt_k1_xboole_0,inf
t41_xboole_1,t4_xboole_1,10.0
t41_xboole_1,t1_xboole_0,inf
t41_xboole_1,t14_xboole_1,48.0
t41_xboole_1,t29_xboole_1,inf
t41_xboole_1,antisymmetry_r2_xboole_0,inf
t41_xboole_1,t44_xboole_1,inf
t41_xboole_1,t2_xboole_0,32.0
t41_xboole_1,t45_xboole_1,21.010584149511022
t41_xboole_1,t6_xboole_0,inf
t41_xboole_1,fc5_xboole_0,inf
t41_xboole_1,t56_xboole_1,inf
t41_xboole_1,fc4_xboole_0,inf
t41_xboole_1,t11_xboole_1,inf
t41_xboole_1,t60_xboole_1,inf
t41_xboole_1,t35_xboole_1,inf
t41_xboole_1,d6_xboole_0,12.0
t41_xboole_1,t15_xboole_1,9.0
t41_xboole_1,l58_xboole_1,inf
t41_xboole_1,t33_xboole_1,inf
t41_xboole_1,commutativity_k5_xboole_0,10.0
t41_xboole_1,irreflexivity_r2_xboole_0,inf
t41_xboole_1,t57_xboole_1,inf
t41_xboole_1,t10_xboole_1,inf
t41_xboole_1,t4_xboole_0,inf
t41_xboole_1,t16_xboole_1,10.0
t41_xboole_1,rc2_xboole_0,inf
t41_xboole_1,d4_xboole_0,32.0
t41_xboole_1,t24_xboole_1,14.0
t41_xboole_1,dt_k4_xboole_0,inf
t41_xboole_1,l36_xboole_1,14.211358740250612
t41_xboole_1,d10_xboole_0,18.0
t41_xboole_1,t19_xboole_1,inf
t41_xboole_1,t43_xboole_1,inf
t41_xboole_1,t26_xboole_1,inf
t41_xboole_1,t13_xboole_1,inf
t41_xboole_1,t6_boole,16.0
t41_xboole_1,l32_xboole_1,17.246583612521167
t41_xboole_1,l13_xboole_0,16.0
t41_xboole_1,t54_xboole_1,14.211358740250612
t41_xboole_1,t2_boole,12.0
t41_xboole_1,d2_xboole_0,10.0
t41_xboole_1,t31_xboole_1,inf
t41_xboole_1,t30_xboole_1,28.0
t41_xboole_1,t18_xboole_1,inf
t41_xboole_1,t52_xboole_1,15.936207743503392
t41_xboole_1,t3_xboole_0,inf
t41_xboole_1,t55_xboole_1,14.365276244330317
t41_xboole_1,t12_xboole_1,16.933664485006336
t41_xboole_1,d7_xboole_0,20.0
t41_xboole_1,t67_xboole_1,32.0
t41_xboole_1,antisymmetry_r2_hidden,inf
t41_xboole_1,t7_xboole_0,8.0
t41_xboole_1,t4_boole,10.505292074755511
t41_xboole_1,t69_xboole_1,inf
t36_xboole_1,d8_xboole_0,10.25598527710629
t36_xboole_1,d3_tarski,10.25598527710629
t36_xboole_1,t40_xboole_1,inf
t36_xboole_1,t23_xboole_1,inf
t36_xboole_1,t66_xboole_1,inf
t36_xboole_1,t34_xboole_1,5.7076051656134394
t36_xboole_1,t8_xboole_1,3.901426078540596
t36_xboole_1,dt_k3_xboole_0,inf
t36_xboole_1,t1_xboole_1,3.4186617590354302
t36_xboole_1,t7_boole,inf
t36_xboole_1,d1_xboole_0,inf
t36_xboole_1,t37_xboole_1,6.8373235180708605
t36_xboole_1,commutativity_k3_xboole_0,inf
t36_xboole_1,dt_k5_xboole_0,inf
t36_xboole_1,t3_boole,inf
t36_xboole_1,t65_xboole_1,inf
t36_xboole_1,symmetry_r1_xboole_0,inf
t36_xboole_1,t2_xboole_1,4.0
t36_xboole_1,t20_xboole_1,3.761915288674013
t36_xboole_1,t59_xboole_1,10.25598527710629
t36_xboole_1,t22_xboole_1,inf
t36_xboole_1,t28_xboole_1,6.8373235180708605
t36_xboole_1,t42_xboole_1,inf
t36_xboole_1,t51_xboole_1,inf
t36_xboole_1,t1_boole,inf
t36_xboole_1,t5_xboole_1,inf
t36_xboole_1,t63_xboole_1,10.25598527710629
t36_xboole_1,t17_xboole_1,4.0
t36_xboole_1,t5_xboole_0,inf
t36_xboole_1,t38_xboole_1,13.674647036141721
t36_xboole_1,t46_xboole_1,inf
t36_xboole_1,commutativity_k2_xboole_0,inf
t36_xboole_1,dt_k2_xboole_0,inf
t36_xboole_1,t53_xboole_1,inf
t36_xboole_1,t8_boole,inf
t36_xboole_1,t61_xboole_1,inf
t36_xboole_1,t49_xboole_1,inf
t36_xboole_1,t58_xboole_1,10.25598527710629
t36_xboole_1,t25_xboole_1,inf
t36_xboole_1,t7_xboole_1,6.8373235180708605
t36_xboole_1,t48_xboole_1,inf
t36_xboole_1,t3_xboole_1,9.733909435101854
t36_xboole_1,idempotence_k3_xboole_0,inf
t36_xboole_1,t47_xboole_1,inf
t36_xboole_1,d3_xboole_0,inf
t36_xboole_1,t21_xboole_1,inf
