formula,formula,score
t5_subset,dt_o_0_0_xboole_0,6.0
t5_subset,t3_subset,0.0
t5_subset,d2_xboole_0,inf
t5_subset,dt_k1_xboole_0,inf
t5_subset,dt_m1_setfam_1,inf
t5_subset,dt_u1_struct_0,inf
t5_subset,existence_m1_setfam_1,inf
t5_subset,t1_subset,3.0
t5_subset,existence_l1_struct_0,inf
t5_subset,t2_subset,2.0
t5_subset,existence_m1_subset_1,6.0
t5_subset,t3_waybel_9,48.0
t7_boole,t6_boole,0.0
t7_boole,antisymmetry_r2_hidden,0.0
t7_boole,t4_subset,0.0
t7_boole,dt_o_0_0_xboole_0,4.0
t7_boole,t3_subset,inf
t7_boole,d2_xboole_0,inf
t7_boole,dt_k1_xboole_0,inf
t7_boole,dt_m1_setfam_1,inf
t7_boole,dt_u1_struct_0,inf
t7_boole,existence_m1_setfam_1,inf
t7_boole,t1_subset,0.0
t7_boole,existence_l1_struct_0,inf
t7_boole,t2_subset,0.0
t7_boole,existence_m1_subset_1,inf
t7_boole,t3_waybel_9,inf
t6_boole,antisymmetry_r2_hidden,inf
t6_boole,t4_subset,inf
t6_boole,dt_o_0_0_xboole_0,4.0
t6_boole,t3_subset,inf
t6_boole,d2_xboole_0,12.0
t6_boole,dt_k1_xboole_0,inf
t6_boole,dt_m1_setfam_1,inf
t6_boole,dt_u1_struct_0,inf
t6_boole,existence_m1_setfam_1,inf
t6_boole,t1_subset,inf
t6_boole,existence_l1_struct_0,inf
t6_boole,t2_subset,0.0
t6_boole,existence_m1_subset_1,inf
t6_boole,t3_waybel_9,32.0
antisymmetry_r2_hidden,t4_subset,0.0
antisymmetry_r2_hidden,dt_o_0_0_xboole_0,inf
antisymmetry_r2_hidden,t3_subset,inf
antisymmetry_r2_hidden,d2_xboole_0,inf
antisymmetry_r2_hidden,dt_k1_xboole_0,inf
antisymmetry_r2_hidden,dt_m1_setfam_1,inf
antisymmetry_r2_hidden,dt_u1_struct_0,inf
antisymmetry_r2_hidden,existence_m1_setfam_1,inf
antisymmetry_r2_hidden,t1_subset,0.0
antisymmetry_r2_hidden,existence_l1_struct_0,inf
antisymmetry_r2_hidden,t2_subset,0.0
antisymmetry_r2_hidden,existence_m1_subset_1,inf
antisymmetry_r2_hidden,t3_waybel_9,inf
t4_subset,dt_o_0_0_xboole_0,inf
t4_subset,t3_subset,3.0
t4_subset,d2_xboole_0,inf
t4_subset,dt_k1_xboole_0,inf
t4_subset,dt_m1_setfam_1,inf
t4_subset,dt_u1_struct_0,inf
t4_subset,existence_m1_setfam_1,inf
t4_subset,t1_subset,1.3333333333333333
t4_subset,existence_l1_struct_0,inf
t4_subset,t2_subset,2.0
t4_subset,existence_m1_subset_1,1.5
t4_subset,t3_waybel_9,24.0
dt_o_0_0_xboole_0,t3_subset,inf
dt_o_0_0_xboole_0,d2_xboole_0,inf
dt_o_0_0_xboole_0,dt_k1_xboole_0,inf
dt_o_0_0_xboole_0,dt_m1_setfam_1,inf
dt_o_0_0_xboole_0,dt_u1_struct_0,inf
dt_o_0_0_xboole_0,existence_m1_setfam_1,inf
dt_o_0_0_xboole_0,t1_subset,inf
dt_o_0_0_xboole_0,existence_l1_struct_0,inf
dt_o_0_0_xboole_0,t2_subset,6.0
dt_o_0_0_xboole_0,existence_m1_subset_1,inf
dt_o_0_0_xboole_0,t3_waybel_9,inf
t3_subset,d2_xboole_0,inf
t3_subset,dt_k1_xboole_0,inf
t3_subset,dt_m1_setfam_1,inf
t3_subset,dt_u1_struct_0,inf
t3_subset,existence_m1_setfam_1,inf
t3_subset,t1_subset,8.0
t3_subset,existence_l1_struct_0,inf
t3_subset,t2_subset,12.0
t3_subset,existence_m1_subset_1,4.0
t3_subset,t3_waybel_9,32.0
d2_xboole_0,dt_k1_xboole_0,inf
d2_xboole_0,dt_m1_setfam_1,inf
d2_xboole_0,dt_u1_struct_0,inf
d2_xboole_0,existence_m1_setfam_1,inf
d2_xboole_0,t1_subset,inf
d2_xboole_0,existence_l1_struct_0,inf
d2_xboole_0,t2_subset,inf
d2_xboole_0,existence_m1_subset_1,inf
d2_xboole_0,t3_waybel_9,24.0
dt_k1_xboole_0,dt_m1_setfam_1,0.0
dt_k1_xboole_0,dt_u1_struct_0,0.0
dt_k1_xboole_0,existence_m1_setfam_1,inf
dt_k1_xboole_0,t1_subset,inf
dt_k1_xboole_0,existence_l1_struct_0,inf
dt_k1_xboole_0,t2_subset,inf
dt_k1_xboole_0,existence_m1_subset_1,inf
dt_k1_xboole_0,t3_waybel_9,inf
dt_m1_setfam_1,dt_u1_struct_0,0.0
dt_m1_setfam_1,existence_m1_setfam_1,inf
dt_m1_setfam_1,t1_subset,inf
dt_m1_setfam_1,existence_l1_struct_0,inf
dt_m1_setfam_1,t2_subset,inf
dt_m1_setfam_1,existence_m1_subset_1,inf
dt_m1_setfam_1,t3_waybel_9,inf
dt_u1_struct_0,existence_m1_setfam_1,inf
dt_u1_struct_0,t1_subset,inf
dt_u1_struct_0,existence_l1_struct_0,inf
dt_u1_struct_0,t2_subset,inf
dt_u1_struct_0,existence_m1_subset_1,inf
dt_u1_struct_0,t3_waybel_9,inf
existence_m1_setfam_1,t1_subset,inf
existence_m1_setfam_1,existence_l1_struct_0,inf
existence_m1_setfam_1,t2_subset,inf
existence_m1_setfam_1,existence_m1_subset_1,inf
existence_m1_setfam_1,t3_waybel_9,8.0
t1_subset,existence_l1_struct_0,inf
t1_subset,t2_subset,0.0
t1_subset,existence_m1_subset_1,0.0
t1_subset,t3_waybel_9,32.0
existence_l1_struct_0,t2_subset,inf
existence_l1_struct_0,existence_m1_subset_1,inf
existence_l1_struct_0,t3_waybel_9,0.0
t2_subset,existence_m1_subset_1,0.0
t2_subset,t3_waybel_9,48.0
existence_m1_subset_1,t3_waybel_9,16.0
