t67_tmap_1 conjecture
rc9_struct_0 axiom
redefinition_k6_domain_1 axiom
redefinition_k6_partfun1 axiom
redefinition_k6_subset_1 axiom
s2_finset_1__e6_53__finset_1 axiom
s2_finset_1__e6_54__finset_1 axiom
s2_funct_1__e10_33__wellord2 axiom
s2_funct_1__e11_32__wellord2 axiom
s3_funct_1__e12_61_2__funct_1 axiom
s3_funct_1__e15_31__wellord2 axiom
s3_funct_1__e2_24__funct_1 axiom
s3_funct_1__e2_25__funct_1 axiom
s3_funct_1__e4_61_2__funct_1 axiom
s3_funct_1__e9_44_1__funct_1 axiom
t100_zfmisc_1 axiom
t105_zfmisc_1 axiom
t113_zfmisc_1 axiom
t116_relat_1 axiom
t117_relat_1 axiom
t118_relat_1 axiom
t11_yellow_1 axiom
t121_relat_1 axiom
t122_relat_1 axiom
t13_wellord1 axiom
t143_funct_1 axiom
t144_relat_1 axiom
t147_relat_1 axiom
t14_relat_1 axiom
t151_funct_1 axiom
t153_zfmisc_1 axiom
t154_relat_1 axiom
t155_relat_1 axiom
t15_relat_1 axiom
t161_relat_1 axiom
t163_relat_1 axiom
t167_relat_1 axiom
t16_tsep_1 axiom
t16_zfmisc_1 axiom
t170_relat_1 axiom
t176_relat_1 axiom
t177_relat_1 axiom
t17_xboole_1 axiom
t183_relat_1 axiom
t18_funct_1 axiom
t193_relat_1 axiom
t194_relat_1 axiom
t1_subset axiom
t1_tsep_1 axiom
t1_zfmisc_1 axiom
t206_relat_1 axiom
t20_wellord1 axiom
t20_zfmisc_1 axiom
t21_relat_1 axiom
t21_wellord1 axiom
t23_xboole_1 axiom
t27_relat_1 axiom
t28_relat_1 axiom
t28_relset_1 axiom
t28_wellord2 axiom
t29_xboole_1 axiom
t2_subset axiom
t2_xboole_1 axiom
t2_zfmisc_1 axiom
t31_ordinal1 axiom
t31_xboole_1 axiom
t32_wellord1 axiom
t33_wellord2 axiom
t34_relat_1 axiom
t36_ordinal1 axiom
t36_xboole_1 axiom
t39_pre_topc axiom
t3_funct_2 axiom
t3_subset axiom
t3_xboole_1 axiom
t42_zfmisc_1 axiom
t44_relat_1 axiom
t45_relat_1 axiom
t48_tmap_1 axiom
t49_tmap_1 axiom
t49_zfmisc_1 axiom
t4_subset_1 axiom
t50_zfmisc_1 axiom
t52_relat_1 axiom
t53_relat_1 axiom
t55_pre_topc axiom
t55_tmap_1 axiom
t55_tops_1 axiom
t5_subset axiom
t60_relat_1 axiom
t61_setfam_1 axiom
t63_relat_1 axiom
t63_zfmisc_1 axiom
t64_tmap_1 axiom
t66_relat_1 axiom
t66_tmap_1 axiom
t66_xboole_1 axiom
t68_zfmisc_1 axiom
t6_boole axiom
t71_xboole_1 axiom
t73_relat_1 axiom
t73_zfmisc_1 axiom
t76_relat_1 axiom
t76_xboole_1 axiom
t7_boole axiom
t7_wellord2 axiom
t7_xboole_0 axiom
t7_xboole_1 axiom
t80_zfmisc_1 axiom
t81_relat_1 axiom
t81_zfmisc_1 axiom
t84_zfmisc_1 axiom
t87_relat_1 axiom
t88_relat_1 axiom
t89_relat_1 axiom
t8_relset_1 axiom
t92_relat_1 axiom
t93_relat_1 axiom
t94_zfmisc_1 axiom
t97_zfmisc_1 axiom
t99_relat_1 axiom
t99_zfmisc_1 axiom
t9_funct_2 axiom
